[471.32619468938,424.814908254797,53.2835654928976].
[472.101332465072,424.962457531457,53.3371216840668].
[472.675047982789,425.126915157978,53.3960147129948].
[472.791723810939,425.100358170107,53.5143197833882].
[472.647227067493,424.892971675467,53.6941376566657].
[472.545867889271,424.752848131636,53.8032027099728].
[472.545867889271,424.752848131636,53.8032027099728].
[472.647227067493,424.892971675467,53.6941376566657].
[472.814340100608,425.123996342707,53.5143197833882].
[472.915699278831,425.264119886538,53.4052547300811].
[472.9383155685,425.295385675314,53.3809190272701].
[472.915699278831,425.264119886538,53.4052547300811].
[472.814340100608,425.123996342707,53.5143197833882].
[472.647227067493,424.892971675467,53.6941376566657].
[472.545867889271,424.752848131636,53.8032027099728].
[472.545867889271,424.752848131636,53.8032027099728].
[472.647227067493,424.892971675467,53.6941376566657].
[472.814340100608,425.123996342707,53.5143197833882].
[472.915699278831,425.264119886538,53.4052547300811].
[472.9383155685,425.295385675314,53.3809190272701].
[472.9383155685,425.295385675314,53.3809190272701].
[472.9383155685,425.295385675314,53.3809190272701].
[472.9383155685,425.295385675314,53.3809190272701].
[472.9383155685,425.295385675314,53.3809190272701].
[472.9383155685,425.295385675314,53.3809190272701].
[472.9383155685,425.295385675314,53.3809190272701].
[472.9383155685,425.295385675314,53.3809190272701].
[472.9383155685,425.295385675314,53.3809190272701].
[472.9383155685,425.295385675314,53.3809190272701].
[472.9383155685,425.295385675314,53.3809190272701].
[472.9383155685,425.295385675314,53.3809190272701].
[472.9383155685,425.295385675314,53.3809190272701].
[472.9383155685,425.295385675314,53.3809190272701].
[472.960933029413,425.32665308327,53.3659696933492].
[473.062297456787,425.466783883768,53.2989714269072].
[473.230575303063,425.698054350631,53.1885099599241].
[473.337121274566,425.839233128695,53.121511693482].
[473.368281657499,425.872228359556,53.1065623595612].
[473.373463201628,425.873276337122,53.1065623595612].
[473.374619360399,425.873510172525,53.1065623595612].
[473.374619360399,425.873510172525,53.1065623595612].
[473.374619360399,425.873510172525,53.1065623595612].
[473.374619360399,425.873510172525,53.1065623595612].
[473.374619360399,425.873510172525,53.1065623595612].
[473.374619360399,425.873510172525,53.1065623595612].
[473.374619360399,425.873510172525,53.1065623595612].
[473.374619360399,425.873510172525,53.1065623595612].
[473.374619360399,425.873510172525,53.1065623595612].
[473.374619360399,425.873510172525,53.1065623595612].
[473.374619360399,425.873510172525,53.1065623595612].
[473.39723234106,425.904774475756,53.0822061489712].
[473.498576689337,426.044891361841,52.973049186175].
[473.665665272006,426.275905052313,52.7930797797681].
[473.767009620283,426.416021938398,52.683922816972].
[473.789622600944,426.447286241629,52.6595666063819].
[473.789622600944,426.447286241629,52.6595666063819].
[473.789622600944,426.447286241629,52.6595666063819].
[473.79076847985,426.447514431326,52.6688985561136].
[473.795903952817,426.448537106598,52.7107214532309].
[473.804370916333,426.450223213071,52.7796757533105].
[473.8095063893,426.451245888343,52.8214986504278].
[473.810652268206,426.45147407804,52.8308306001594].
[473.810652268206,426.45147407804,52.8308306001594].
[473.810652268206,426.45147407804,52.8308306001594].
[473.810652268206,426.45147407804,52.8308306001594].
[473.810652268206,426.45147407804,52.8308306001594].
[473.810652268206,426.45147407804,52.8308306001594].
[473.810652268206,426.45147407804,52.8308306001594].
[473.810652268206,426.45147407804,52.8308306001594].
[473.810652268206,426.45147407804,52.8308306001594].
[473.810652268206,426.45147407804,52.8308306001594].
[473.810652268206,426.45147407804,52.8308306001594].
[473.810652268206,426.45147407804,52.8308306001594].
[473.810652268206,426.45147407804,52.8308306001594].
[473.810652268206,426.45147407804,52.8308306001594].
[473.810652268206,426.45147407804,52.8308306001594].
[473.810652268206,426.45147407804,52.8308306001594].
[473.810652268206,426.45147407804,52.8308306001594].
[473.810652268206,426.45147407804,52.8308306001594].
[473.810652268206,426.45147407804,52.8308306001594].
[473.810652268206,426.45147407804,52.8308306001594].
[473.810652268206,426.45147407804,52.8308306001594].
[473.810652268206,426.45147407804,52.8308306001594].
[473.810652268206,426.45147407804,52.8308306001594].
[473.810652268206,426.45147407804,52.8308306001594].
[473.810652268206,426.45147407804,52.8308306001594].
[473.857083043985,426.432136455133,52.8551773072377].
[474.065171344319,426.345243796166,52.9642916782491].
[474.408250951265,426.201337674601,53.1441908626748].
[474.616339251599,426.11299185204,53.2533052336862].
[474.662770027378,426.092634888046,53.2776519407645].
[474.662770027378,426.092407442306,53.2776519407645].
[474.662770027378,426.111744321256,53.2624750457673].
[474.662770027378,426.198634389996,53.1944569213369].
[474.686498582024,426.354455460344,53.0823139927954].
[474.792842586036,426.496212235294,53.014295868365].
[474.968174207462,426.604627996695,52.9991189733678].
[475.074518211474,426.658264975824,52.9991189733678].
[475.09824676612,426.670182087564,52.9991189733678].
[475.09824676612,426.670182087564,52.9991189733678].
[475.09824676612,426.670182087564,52.9991189733678].
[475.09824676612,426.670182087564,52.9991189733678].
[475.120853429803,426.701438478612,52.9747478437592].
[475.222169467344,426.841519904753,52.8655240185602].
[475.389211373501,427.072475131662,52.6854443746874].
[475.490527411042,427.212556557803,52.5762205494884].
[475.53574193652,427.275070996435,52.5274769986437].
